# Skate 3 audio corpus: the functions that actually executed.
#
# Measured 2026-09-11. This file exists because the first Phase 0a measurement was
# lost: every trace artifact lands in probe/trace/out/, and .gitignore's 'out/' rule
# exists for retail-derived game data, not for measurements. A session's executed set
# cannot be regenerated without the game, a boot and the same pad timeline, so it is
# tracked here instead. The 1,693-function corpus is NOT tracked, deliberately: it is
# derivable from probe/trace/corpus.py, which is.
#
# trace header : skate3 guest trace: mode=first reason=controller recorded=16640 written=16640 capacity=262144
# label        : p11_trace
# arm / mode   : TRACE_ARM=boot, TRACE_MODE=first (one entry per function)
# dump         : skate3_trace_dump_delay_ms=120000, i.e. 120 s after gameplay
# pad macro    : a:700,a:700,a:700,a:700,x:900,a:700,a:700,back:1200
# binary       : skate3recomp-dev/out/build/linux-release-jammy/skate3
# audio hooks  : neither skate3_audio_shadow nor skate3_audio_native set, so all six
#                hooks fell through to __imp__ and this is original guest behaviour
#
# corpus executed : 758 of 1693 (44.8%)
# vector executed : 30 of 49
# audio thread    : 216 (200 scalar)
#
# NOT a maximum. The documented union of three earlier sessions is 789; this single
# session has no map switch, whose streaming paths account for the difference. It is
# also an upper bound on audio work in the other direction: the corpus is call-graph
# bounded from audio seeds and so contains main- and render-thread code.
#
# Re-intersect without the game:
#   python3 probe/trace/analyze_trace.py probe/trace/out/corpus.json <trace>
#
# address	vec	thread of first call
82B1C910	0	RwAudioCore Dac/1199309
82B1CAD8	0	RwAudioCore Dac/1199309
82B1CD28	0	RwAudioCore Dac/1199309
82B1CE18	0	RwAudioCore Dac/1199309
82B1CE48	0	RwAudioCore Dac/1199309
82B1CEE0	0	RwAudioCore Dac/1199309
82B1CF38	0	RwAudioCore Dac/1199309
82B1CF50	0	RwAudioCore Dac/1199309
82B1D098	0	RwAudioCore Dac/1199309
82B1D118	0	RwAudioCore Dac/1199309
82B1D198	0	RwAudioCore Dac/1199309
82B1D1A8	0	RwAudioCore Dac/1199309
82B1D1B8	0	RwAudioCore Dac/1199309
82B1D1C8	0	RwAudioCore Dac/1199309
82B1D200	0	RwAudioCore Dac/1199309
82B1D240	0	RwAudioCore Dac/1199309
82B1D3D0	0	RwAudioCore Dac/1199309
82B1D5D0	0	RwAudioCore Dac/1199309
82B1D700	0	RwAudioCore Dac/1199309
82B1D790	0	RwAudioCore Dac/1199309
82B1D7B0	0	RwAudioCore Dac/1199309
82B1D7D0	0	RwAudioCore Dac/1199309
82B1D7E8	0	render_thread (/1199299
82B1D7F8	0	render_thread (/1199299
82B1D808	0	load_thread (F8/1199277
82B1D840	0	RwAudioCore Dac/1199309
82B1D880	0	load_thread (F8/1199277
82B1DAD0	0	load_thread (F8/1199277
82B1DC00	0	RwAudioCore Dac/1199309
82B1DCD0	0	render_thread (/1199299
82B1DE78	0	render_thread (/1199299
82B1DF50	0	load_thread (F8/1199277
82B1E290	0	RwAudioCore Dac/1199309
82B1E3F8	0	RwAudioCore Dac/1199309
82B1E458	0	RwAudioCore Dac/1199309
82B1F360	0	RwAudioCore Dac/1199309
82B1F440	0	RwAudioCore Dac/1199309
82B1F4C8	0	RwAudioCore Dac/1199309
82B1F5F8	0	RwAudioCore Dac/1199309
82B1F7E8	0	RwAudioCore Dac/1199309
82B1F7F0	0	Main XThread (F/1199275
82B20648	0	load_thread (F8/1199277
82B20AF8	0	XThread2EFFE6C0/1199303
82B20B10	0	XThread2EFFE6C0/1199303
82B20E18	0	RwAudioCore Dac/1199309
82B20EF0	0	load_thread (F8/1199277
82B20EF8	0	load_thread (F8/1199277
82B21520	0	load_thread (F8/1199277
82B217F0	0	RwAudioCore Dac/1199309
82B218E8	0	RwAudioCore Dac/1199309
82B219E8	0	RwAudioCore Dac/1199309
82B21AC0	0	RwAudioCore Dac/1199309
82B21D70	0	RwAudioCore Dac/1199309
82B21D98	0	RwAudioCore Dac/1199309
82B21F58	0	RwAudioCore Dac/1199309
82B21F80	0	load_thread (F8/1199277
82B22008	0	load_thread (F8/1199277
82B22228	0	RwAudioCore Dac/1199309
82B222D8	0	RwAudioCore Dac/1199309
82B225A0	0	RwAudioCore Dac/1199309
82B22678	0	RwAudioCore Dac/1199309
82B22738	0	load_thread (F8/1199277
82B22770	0	load_thread (F8/1199277
82B22898	583	RwAudioCore Dac/1199309
