00007FFF 00000962 00000FF4 00000000 0000618B 0000004D 000002D5 00000E93 00000000 00000002 000001E4 00000000 00000001 00000001 00000073 00000001 00000002 
00007FFF 00000969 00000FF4 00000000 0000618B 0000004D 00000396 00001274 00000000 00000002 00000132 00000000 00000001 00000001 00000089 00000001 00000002 
00007FFF 000008B9 00000FFD 00000000 0000618B 0000004D 000006D3 00002316 00000000 00000000 0000020C 00000000 00000001 00000001 000000D0 00000001 00000002 
00007FFF 00000812 00001000 00000000 0000618B 0000004D 000006FB 000023E8 00000000 00000000 0000020D 00000000 00000001 00000001 000000C5 00000001 00000002 
00007FFF 000007E0 00001000 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 00000081 00000000 00000001 00000001 00000084 00000001 00000002 
00007FFF 000007A5 00001000 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 00000081 00000000 00000001 00000001 00000082 00000001 00000002 
00007FFF 000006CF 00001000 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000001 00000029 00000000 00000001 00000001 0000008F 00000001 00000002 
00007FFF 0000055B 00001000 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000010 00000000 00000001 00000001 00000064 00000001 00000002 
00007FFF 000004BD 00001000 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000000 00000000 00000001 00000001 00000019 00000001 00000002 
00007FFF 000004BE 00000FFD 00000000 0000618B 0000004D 000006FD 000023F2 00000001 00000002 00000009 00000000 00000001 00000001 00000003 00000001 00000002 
00007FFF 000004DC 00000FFB 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 00000183 00000000 00000001 00000001 00000069 00000001 00000002 
00007FFF 00000510 00000FF8 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 0000020F 00000000 00000001 00000001 00000091 00000001 00000002 
00007FFF 00000553 00000FF6 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 0000020D 00000000 00000001 00000001 000000A9 00000001 00000002 
00007FFF 00000554 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 0000020D 00000000 00000001 00000001 000000A9 00000001 00000002 
00007FFF 000005A7 00000FF1 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 0000020B 00000000 00000001 00000001 000000C9 00000001 00000002 
00007FFF 00000656 00000FEF 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 00000209 00000000 00000001 00000001 000000CD 00000001 00000002 
00007FFF 00000656 00000FED 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 00000209 00000000 00000001 00000001 000000CD 00000001 00000002 
00007FFF 000006AF 00000FEA 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 0000020A 00000000 00000001 00000001 000000C8 00000001 00000002 
00007FFF 00000700 00000FEA 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 0000020B 00000000 00000001 00000001 000000B9 00000001 00000002 
00007FFF 0000074B 00000FEA 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 0000020D 00000000 00000001 00000001 00000098 00000001 00000002 
00007FFF 00000786 00000FEA 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 0000020E 00000000 00000001 00000001 0000007E 00000001 00000002 
00007FFF 000007B5 00000FED 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 000001B0 00000000 00000001 00000001 00000071 00000001 00000002 
00007FFF 000007E2 00000FED 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 000001A0 00000000 00000001 00000001 00000070 00000001 00000002 
00007FFF 0000085B 00000FED 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 00000139 00000000 00000001 00000001 00000067 00000001 00000002 
00007FFF 0000085B 00000FED 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 00000139 00000000 00000001 00000001 00000067 00000001 00000002 
00007FFF 00000880 00000FED 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 00000135 00000000 00000001 00000001 00000067 00000001 00000002 
00007FFF 0000089C 00000FEF 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 0000018D 00000000 00000001 00000001 00000053 00000001 00000002 
00007FFF 000008BA 00000FF1 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 00000196 00000000 00000001 00000001 00000057 00000001 00000002 
00007FFF 000008CF 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 0000012C 00000000 00000001 00000001 0000004E 00000001 00000002 
00007FFF 000008E5 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 00000135 00000000 00000001 00000001 0000004D 00000001 00000002 
00007FFF 000008FC 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 000000BE 00000000 00000001 00000001 00000057 00000001 00000002 
00007FFF 00000916 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 000000CB 00000000 00000001 00000001 0000005C 00000001 00000002 
00007FFF 00000916 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000000 000000CB 00000000 00000001 00000001 0000005C 00000001 00000002 
00007FFF 0000092C 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000001 00000074 00000000 00000001 00000001 00000057 00000001 00000002 
00007FFF 00000946 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000001 0000007A 00000000 00000001 00000001 0000005B 00000001 00000002 
00007FFF 00000961 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 0000004D 00000000 00000001 00000001 0000005E 00000001 00000002 
00007FFF 0000097B 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000050 00000000 00000001 00000001 0000005A 00000001 00000002 
00007FFF 0000098D 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 0000000C 00000000 00000001 00000001 00000040 00000001 00000002 
00007FFF 000009A1 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 0000001D 00000000 00000001 00000001 00000042 00000001 00000002 
00007FFF 000009C4 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000020 00000000 00000001 00000001 0000006E 00000001 00000002 
00007FFF 000009C4 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000020 00000000 00000001 00000001 0000006E 00000001 00000002 
00007FFF 000009C6 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000030 00000000 00000001 00000001 0000000B 00000001 00000002 
00007FFF 000009D4 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000016 00000000 00000001 00000001 0000005D 00000001 00000002 
00007FFF 000009E1 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000016 00000000 00000001 00000001 00000055 00000001 00000002 
00007FFF 000009E2 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000019 00000000 00000001 00000001 00000008 00000001 00000002 
00007FFF 000009E1 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 0000001D 00000000 00000001 00000001 00000006 00000001 00000002 
00007FFF 000009E2 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 0000001D 00000000 00000001 00000001 00000005 00000001 00000002 
00007FFF 000009E2 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000019 00000000 00000001 00000001 00000005 00000001 00000002 
00007FFF 000009E2 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 0000001D 00000000 00000001 00000001 00000004 00000001 00000002 
00007FFF 000009E2 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 0000001D 00000000 00000001 00000001 00000004 00000001 00000002 
